,3.4,,3.5,3.6,3.7,,,,3.8,,,3.9,,,
,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70k (%)",Suicide mortality ratek (per 100 000 population),Total alcohol per capita (≥ 15 years of age) consumptionl (litres of pure alcohol),"Road traffic mortality ratek,ay (per 100 000 population)",Proportion of women of reproductive age who have their need for family planning satisfied with modern methodsm (%),,Adolescent birth raten (per 1000 women aged 15–19 years),Adolescent birth raten (per 1000 women aged 10–14 years),UHC: Service coverage indexo,Population with household expenditures on health > 10% of total household expenditure or incomep (%),Population with household expenditures on health > 25% of total household expenditure or incomep (%),Age-standardized mortality rate attributed to household and ambient air pollutionq  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH servicesr (per 100 000 population),Mortality rate from unintentional poisoningk (per 100 000 population),
Data type,Comparable estimates,Comparable estimates,Comparable estimates,Comparable estimates,Primary data,,Primary data,Primary data,Comparable estimates,Primary data,Primary data,Comparable estimates,Comparable estimates,Comparable estimates,
,,,,,,,,,,,,,,,
Countries and areas,2019,2019,2019,2019,2013–2021,,2013–2021,,2021,2013–2021,2013–2021,2019,2019,2019,
Afghanistan,35.3,4.1,<0.1,15.9,42.1,am,62.1,0.2,41,26.1,8.0,265.7,16.6,1.0,
Albania,11.4,4.3,5.1,11.7,6.3,,13.2,0.3,64,8.9,1.4,92.5,3.2,0.3,
Algeria,13.9,2.5,0.6,20.9,66.3,am,12.0,0.0,74,-,-,49.7,4.1,0.7,
Andorra,-,-,11.1,-,-,,0.5,0.0,79,-,-,-,-,-,
Angola,22.2,6.1,6.2,26.1,29.8,,162.7,10.7,37,35.5,12.5,142.8,48.9,2.0,
Antigua and Barbuda,17.5,0.4,8.5,0.0,-,,32.5,0.3,76,-,-,19.3,2.5,0.7,
Argentina,15.7,8.4,8.0,14.1,80.3,,41.8,1.2,79,9.6,2.5,29.7,11.4,0.4,
Armenia,19.9,3.3,5.0,20.0,40.2,am,13.9,<0.1,68,19.9,5.9,74.5,5.8,0.7,
Australia,8.6,12.5,10.1,4.9,-,,7.8,0.1,87,2.5,0.4,9.8,1.9,0.1,
Austria,10.4,14.6,12.0,4.9,-,,5.0,<0.1,85,-,-,17.5,2.0,0.2,
Azerbaijan,27.2,4.1,2.0,6.7,-,,41.6,0.0,66,-,-,125.2,3.6,0.9,
Bahamas,19.9,3.5,4.4,7.7,-,,26.4,0.3,77,-,-,10.4,2.6,0.2,
Bahrain,16.1,8.9,1.6,5.2,-,,8.6,<0.1,76,4.9,1.4,68.1,0.8,0.3,
Bangladesh,18.9,3.7,<0.1,15.3,77.4,am,74.0,0.9,52,24.4,8.5,143.9,18.2,0.3,
Barbados,16.0,0.6,9.5,8.2,-,,-,-,77,16.4,3.8,18.8,7.7,0.7,
Belarus,23.8,21.2,10.9,7.6,66.0,,11.6,0.1,79,16.5,1.2,69.9,1.6,3.3,
Belgium,10.6,18.3,10.3,5.8,-,,4.9,0.1,86,-,-,15.3,5.3,0.4,
Belize,16.5,7.1,5.7,22.6,64.9,,51.2,0.9,68,6.2,3.1,41.0,4.3,0.4,
Benin,22.6,7.8,8.3,26.8,28.0,,108.4,1.8,38,14.3,3.0,201.8,60.2,2.6,
Bhutan,18.5,4.6,0.2,16.2,-,,8.1,-,60,4.0,1.8,94.3,15.7,0.2,
Bolivia (Plurinational State of),17.9,6.2,4.1,21.1,50.3,am,71.0,-,65,5.7,1.2,77.1,14.3,0.6,
Bosnia and Herzegovina,18.7,10.9,6.4,13.5,-,,9.7,<0.1,66,8.2,1.4,113.9,1.9,0.4,
Botswana,27.0,16.1,8.2,26.4,-,,50.2,0.3,55,4.3,1.0,140.7,26.8,1.8,
Brazil,15.5,6.9,7.7,16.0,-,,43.1,2.3,80,11.8,1.9,28.9,6.6,0.1,
Brunei Darussalam,18.5,2.7,0.4,7.5,-,,7.9,0.3,78,-,-,19.6,1.7,<0.1,
Bulgaria,24.2,9.7,11.9,9.2,-,,37.9,1.3,73,21.3,3.1,62.9,2.9,0.5,
Burkina Faso,23.9,7.5,9.8,31.0,58.2,,127.3,1.2,40,8.4,1.8,201.3,60.9,3.1,
Burundi,25.0,6.2,4.1,35.5,39.6,,58.2,0.7,41,4.8,0.9,205.9,53.3,3.2,
Cabo Verde,17.4,12.9,6.3,26.8,-,,40.0,0.4,71,-,-,91.2,12.1,0.4,
Cambodia,22.5,4.8,8.5,19.6,56.5,,57.4,0.1,58,17.9,4.9,163.3,17.1,0.5,
Cameroon,23.9,9.0,10.1,30.2,44.9,,122.2,2.9,44,10.7,1.8,206.7,47.3,2.6,
Canada,9.6,11.8,9.9,5.3,-,,5.6,<0.1,91,3.5,0.8,8.1,2.3,0.3,
Central African Republic,36.0,12.3,2.0,37.7,27.6,,184.4,8.0,32,-,-,305.1,97.0,2.8,
Chad,22.7,6.4,3.7,32.4,17.5,am,138.7,3.9,29,9.3,1.4,227.4,99.2,3.5,
Chile,10.0,9.0,6.7,14.9,-,,18.9,0.5,82,14.6,2.1,17.9,2.3,0.4,
China,15.9,8.1,5.7,17.4,-,,6.1,-,81,24.3,6.9,95.3,2.2,1.8,
"China, Hong Kong SAR",-,-,-,-,-,,-,-,-,-,-,-,-,-,
"China, Macao SAR",-,-,-,-,-,,-,-,-,-,-,-,-,-,
Colombia,9.7,3.9,4.9,15.4,86.6,,52.8,2.6,80,8.2,2.2,31.3,3.4,0.1,
Comoros,20.6,5.4,0.3,26.6,-,,38.0,-,48,8.8,1.6,164.6,43.8,2.4,
Congo,22.6,6.5,6.4,29.7,43.2,,72.0,2.5,41,-,-,170.4,26.4,1.3,
Cook Islands,-,-,10.6,-,-,,32.5,0.3,46,0.1,<0.1,-,-,-,
Costa Rica,9.5,8.1,3.5,14.8,80.8,,26.9,1.1,81,7.4,1.1,17.8,2.9,0.1,
Côte d'Ivoire,21.7,8.9,2.8,24.1,46.1,,118.8,5.0,43,8.3,0.6,186.5,47.0,2.5,
Croatia,16.1,16.4,8.5,7.9,-,,7.6,<0.1,80,-,-,31.3,2.7,0.4,
Cuba,16.6,14.5,6.0,8.9,86.9,,47.6,1.2,83,-,-,41.9,9.7,0.2,
Cyprus,8.2,3.6,8.1,5.8,-,,7.7,0.2,81,14.7,1.6,15.8,1.6,0.3,
Czechia,14.3,12.2,13.3,5.9,-,,8.8,0.1,84,4.6,0.8,32.5,4.1,0.4,
Democratic People's Republic of Korea,23.9,9.4,4.3,24.2,89.6,am,-,-,68,-,-,212.8,4.1,1.4,
Democratic Republic of the Congo,24.0,6.7,2.1,34.9,33.0,,109.0,3.4,42,-,-,209.8,52.3,2.0,
Denmark,10.8,10.7,9.4,3.7,-,,1.3,<0.1,82,-,-,12.9,4.1,<0.1,
Djibouti,22.0,9.6,0.4,23.5,-,,-,-,44,1.5,0.3,177.9,37.6,2.5,
Dominica,-,-,6.1,-,-,,-,-,49,-,-,-,-,-,
Dominican Republic,19.1,4.9,6.8,64.6,77.4,,42.4,1.0,77,8.2,0.9,41.3,5.8,0.4,
Ecuador,11.0,7.6,3.3,20.1,82.5,,58.1,2.2,77,10.3,2.4,28.1,4.7,0.3,
Egypt,28.0,3.0,0.1,10.1,80.0,am,46.9,-,70,31.1,6.1,105.6,4.8,0.2,
El Salvador,10.7,6.0,3.3,20.9,80.0,,50.1,2.1,78,4.1,1.4,40.3,6.1,0.2,
Equatorial Guinea,22.1,7.9,6.9,27.2,-,,-,-,46,-,-,165.7,29.7,1.6,
Eritrea,26.8,10.9,1.2,37.9,-,,-,-,45,-,-,237.4,66.5,3.3,
Estonia,14.9,14.9,11.3,4.5,80.2,,7.9,0.1,79,-,-,12.8,2.6,0.6,
Eswatini,35.2,29.4,8.1,33.5,82.9,,87.1,1.2,56,5.0,1.3,173.7,46.5,3.3,
Ethiopia,17.1,5.4,3.4,28.2,62.6,am,73.5,0.5,35,3.5,0.6,142.5,40.7,3.3,
Fiji,37.7,9.0,3.4,13.5,-,,31.1,0.0,58,-,-,118.7,10.8,0.3,
Finland,9.6,15.3,9.2,3.9,-,,3.7,<0.1,86,6.7,0.7,7.4,0.8,0.4,
France,10.6,13.8,11.3,5.1,-,,5.7,0.1,85,-,-,10.0,3.4,0.3,
Gabon,21.3,8.4,7.3,23.9,-,,-,-,49,3.8,0.7,78.3,17.5,1.3,
Gambia,21.1,4.8,1.1,29.6,41.1,,64.8,1.1,46,0.2,<0.1,220.5,29.5,1.8,
Georgia,24.9,9.2,14.3,12.4,51.3,am,27.2,0.1,68,31.4,8.9,92.8,3.3,0.6,
Germany,12.1,12.3,12.2,3.8,-,,6.5,0.1,88,-,-,14.7,3.2,0.3,
Ghana,22.5,6.6,4.5,25.7,40.4,,78.0,0.7,48,1.3,0.1,193.6,25.2,1.7,
Greece,12.5,5.1,7.1,8.3,-,,8.5,0.4,77,16.9,1.6,23.0,7.6,0.2,
Grenada,23.3,0.7,8.1,8.0,-,,35.9,-,70,-,-,47.4,6.7,<0.1,
Guatemala,16.5,5.9,1.6,22.9,66.1,,58.8,0.0,59,11.5,3.8,91.0,15.3,1.6,
Guinea,24.9,7.0,0.5,29.7,37.7,,119.6,4.4,40,1.5,<0.1,238.0,57.8,2.3,
Guinea-Bissau,24.9,7.0,4.1,32.2,60.0,,84.4,1.6,37,5.1,0.4,228.8,49.4,2.3,
Guyana,29.2,40.3,5.3,22.3,46.6,,64.9,1.3,76,-,-,95.7,8.6,<0.1,
Haiti,31.3,9.6,3.5,18.8,45.4,,54.8,1.3,54,11.5,4.0,206.4,25.9,1.4,
Honduras,18.7,2.1,3.2,16.1,79.0,,97.1,2.5,64,-,-,112.5,7.1,0.5,
Hungary,22.1,16.6,10.6,7.7,-,,21.4,0.4,79,12.3,0.9,42.3,2.0,0.5,
Iceland,8.7,11.9,8.1,2.0,-,,3.3,0.0,89,-,-,8.2,2.4,1.0,
India,21.9,12.7,4.9,15.6,72.8,,10.6,0.2,63,17.5,6.7,139.3,36.4,0.3,
Indonesia,24.8,2.4,0.1,11.3,77.0,,36.1,0.3,55,2.0,0.4,96.1,15.8,0.3,
Iran (Islamic Republic of),14.8,5.2,0.7,21.5,-,,24.5,0.4,74,15.4,3.7,58.1,2.9,1.0,
Iraq,23.5,3.6,0.2,27.3,53.8,am,70.0,1.6,59,19.6,4.2,89.7,4.4,0.2,
Ireland,9.7,9.6,11.7,3.1,-,,4.9,<0.1,83,-,-,12.8,2.7,0.3,
Israel,8.8,5.3,3.0,3.9,-,,7.1,0.0,85,12.8,2.6,15.1,2.0,<0.1,
Italy,9.0,6.7,8.0,5.3,-,,3.3,0.0,84,-,-,15.0,3.0,0.3,
Jamaica,16.9,2.4,3.6,15.1,-,,35.9,0.0,74,-,-,35.9,2.3,<0.1,
Japan,8.3,15.3,6.7,3.6,-,,2.5,<0.1,83,11.1,2.0,11.8,8.4,0.2,
Jordan,15.3,1.6,0.3,17.0,56.7,am,27.0,0.4,65,6.4,1.3,38.7,1.9,0.5,
Kazakhstan,22.4,17.6,4.5,12.7,73.2,am,22.9,<0.1,80,3.7,0.2,83.4,3.2,1.9,
Kenya,21.0,6.1,2.9,28.3,77.1,,73.0,2.0,53,5.2,1.4,131.9,29.0,2.4,
Kiribati,50.8,28.3,0.8,1.9,53.1,,50.6,1.8,48,-,-,246.6,37.4,2.6,
Kuwait,11.9,2.9,0.0,15.4,-,,5.2,0.0,78,-,-,45.2,0.8,0.4,
